Energy Sector Strategy 1387-1391 (2007/8-2012/3)	AFG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcG9IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be6991246abda10bef5edc0a4d196b73ce1b1a26/f|
Rural Renewable Energy Policy (RREP)	AFG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbGNNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--507033a8de75d3830fc5f9549a4f647549aaef29/2013%20Afghanistan%20Rural%20Renewable%20Energy%20Policy.pdf|
National Forestry Management Policy (NFMP)	AFG	
Strategic National Action Plan for Disaster Risk Reduction (SNAP)	AFG	
The National Environmental Action Plan (NEAP)	AFG	
National Biodiversity Strategy and Action Plan	AFG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUVIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c6ec22c325b8271845c525ef931e38607a7c7beb/f|
National Comprehensive Agriculture Development Priority Program 2016 - 2020	AFG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--7695f98c57092849b6c09eb8877da57662ff3ce4/f|
Law on Disaster Response, Management, and Preparedness	AFG	Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4e27f8fbe94a3cff706ea55e80d68f0beb270161/f|en;Dari version (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60aeeb8a653d951c1ad086e9ed8e0533daf24154/%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A2%D9%85%D8%A7%D8%AF%DA%AF%DB%8C%20%D9%85%D8%A8%D8%A7%D8%B1%D8%B2%D9%87%20%D8%A8%D8%A7%20%D8%AD%D9%88%D8%A7%D8%AF%D8%AB_Law%20on%20Disaster%20Response%20Management%20and%20Preparedness_Dari%20Version.pd.pdf|
National Renewable Energy Policy	AFG	Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdEFGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9b7c987f9184b950fcd2721b063fe058eb259ac5/f|
Disaster management strategy (2014-2017)	AFG	Full text (PDF)|http://extwprlegs1.fao.org/docs/pdf/afg168612.pdf|en
